产品分类,基金简称,产品代码(OF),产品代码(HK),投资类型,截止日期,今年以来(%),近一月(%),近三月(%),近六月(%),近一年(%),近三年(%),成立以来(%),年化回报(%),成立日期,基金规模(亿),合作伙伴
境内-ETF,名称,,境内场内代码,,,,,,,,,,,,"ETF总规模
（亿，最新）",合作伙伴
境内-ETF,恒生科技ETF,,513130,,,,,,,,,,,,456,华泰柏瑞
境内-ETF,亚太精选ETF,,159687,,,,,,,,,,,,15,南方基金
境内-ETF,东南亚科技ETF,,513730,,,,,,,,,,,,13,华泰柏瑞
境内-ETF,新经济ETF,,159822,,,,,,,,,,,,2.6,银华基金
境内-ETF,沙特ETF,,159329//520830,,,,,,,,,,,,13/12.7,"华泰柏瑞/
南方基金"
境外-OF,MSCI港股通精选ETF,3432.OF,03432.HK,股票型基金,2026-03-24,-0.8043087697,-9.0323604562,-2.7106230541,-11.663104655,7.5901255463,--,33.5061589223,18.0697226711,2024-06-28,2208.2319468325,
境外-OF,富时香港韩国科技+指数ETF,3431.OF,03431.HK,股票型基金,2026-03-24,4.4309087225,-9.8593242756,6.5203632183,2.8574635801,--,--,2.8574635801,--,2025-09-24,134.7669476986,
境外-OF,银华中证5GETF,3193.OF,03193.HK,股票型基金,2026-03-24,4.3148901029,-1.8608855455,3.2117659999,12.0111184059,111.0090269524,114.0866646024,63.9849708529,9.531190978,2020-10-19,1.5974111767,
境外-OF,恒生生物科技ETF,3174.OF,03174.HK,股票型基金,2026-03-24,-1.4703292833,-10.6054957929,-4.7141965147,-18.4349262652,44.8673139159,6.1328359624,-56.5060240964,-16.2465514129,2021-07-15,166.06787749,
境外-OF,工银标普中国ETF,3167.OF,03167.HK,股票型基金,2026-03-24,-7.1729191888,-7.1786261643,-8.2099911845,-13.5742196817,-1.2446581862,3.5741469709,32.0360116905,3.0337695431,2016-12-08,121.00421016959999,
境外-OF,日经225指数ETF,3153.OF,03153.HK,股票型基金,2026-03-24,2.61900471,-10.7670466097,2.5076631149,7.7252047037,32.4408559837,--,34.7946257198,14.8121758779,2024-01-26,157.7646258381,
境外-OF,中国创业板ETF,3147.OF,03147.HK,股票型基金,2026-03-24,3.3854896154,-1.6341636143,2.9553587796,5.9262964542,60.5695604614,35.8592763988,-13.7101784247,-1.347589958,2015-05-15,94.2422052173,
境外-OF,华泰柏瑞中证太阳能ETF,3134.OF,03134.HK,股票型基金,2026-03-24,18.8693448884,1.3875185968,19.2239696512,26.4694965912,58.1517490717,-20.0955284302,-17.8371998579,-3.9814961366,2021-05-25,11.541237862400001,
境外-OF,华泰柏瑞沪深300ETF,3133.OF,03133.HK,股票型基金,2026-03-24,-1.3877668264,-4.8931675728,-1.0591541177,2.5101244798,23.5628240746,--,39.5776687927,21.5749249371,2024-07-10,104.193105427,
境外-OF,科创板50ETF,3109.OF,03109.HK,股票型基金,2026-03-24,-2.1191421763,-11.7502148382,-2.1999301609,-8.0872645907,29.7807359353,15.8478575592,-21.4347191319,-4.5899727098,2021-02-05,85.8750359497,
境外-OF,华泰柏瑞中证A500ETF,3101.OF,03101.HK,股票型基金,2026-03-24,-6.0786248766,-6.2566238171,--,--,--,--,-6.0786248766,--,2026-01-23,13.1036496843,
境外-OF,恒生ETF,3037.OF,03037.HK,股票型基金,2026-03-24,-1.9415000464,-5.4623053632,-2.6522269349,-4.8822691882,7.816627855,39.9756663632,2.6709509198,0.5389358093,2021-04-30,132.4372549978,
境外-OF,纳斯达克100ETF,3034.OF,03034.HK,股票型基金,2026-03-24,-4.6381035475,-3.8311773405,-6.0756762687,-2.1486328181,17.7466306042,73.1103622578,31.8290883428,6.9650075514,2022-02-16,3.9485469422,
境外-OF,恒生科技ETF,3033.OF,03033.HK,股票型基金,2026-03-24,-12.555763286,-8.3483693227,-12.3090345455,-23.8813425501,-15.8801951636,13.7545752264,-37.682210936,-8.1326111243,2020-08-28,17942.2316495688,
境外-OF,中证500ETF,3005.OF,03005.HK,股票型基金,2026-03-24,3.8944409347,-9.230529872,5.9340792363,8.3597930394,37.5096804606,26.7091729883,57.7597362881,7.8572554154,2020-03-16,7.945374374299999,
境外-OF,富时越南30ETF,3004.OF,03004.HK,股票型基金,2026-03-24,-10.6994902038,-14.6779889687,-11.03387639,-2.0354234296,35.931597996,38.9197570746,9.6439452851,2.6330506606,2022-09-09,7.8120167774,
境外-OF,MSCI中国A50ETF,3003.OF,03003.HK,股票型基金,2026-03-24,-3.4030798166,-3.4995009101,-2.8865187461,0.8436876822,27.0976722605,16.492123403,-16.4113062164,-4.0870041576,2021-12-08,9.9515268355,
境外-OF,沙特阿拉伯 ETF,2830.OF,02830.HK,股票型基金,2026-03-24,5.9554540994,0.5780537044,5.5162065623,-2.579826524,-1.8124304955,--,3.0648428928,1.2849729346,2023-11-13,2054.5878339629,
境外-OF,南方富时中国A50ETF,2822.OF,02822.HK,股票型基金,2026-03-24,-3.1724710112,-1.6045607532,-3.1061180114,0.3673967945,16.7737627728,16.6707635727,124.7843082748,6.1455206689,2012-08-28,1490.0716382196,
境外-OF,国指备兑认购期权ETF,2802.OF,02802.HK,股票型基金,2026-03-24,-4.7383359082,-3.9056966729,-4.4579705931,--,--,--,-3.9491321453,--,2025-12-08,1256.9053222033,
境外-OF,2倍做多MicroStrategy纳指ETF-美元,9799.OF,09799.HK,另类投资基金,2026-03-24,-38.9223382364,12.1937561249,-44.497541381,-89.3215009061,-93.354782003,--,-93.354782003,-93.0569193507,2025-03-19,10.5055648452,
境外-OF,2倍做多英伟达 ETF-美元,9788.OF,09788.HK,另类投资基金,2026-03-24,-16.9703390936,-19.2696492368,-18.9566723554,-14.5752227121,49.7881475623,--,49.7881475623,48.6536081125,2025-03-18,11.302677060600002,
境外-OF,2倍做多Berkshire ETF-美元,9777.OF,09777.HK,另类投资基金,2026-03-24,-12.4728362683,-7.4677510926,-12.1909964542,-14.493301774,-30.9282109911,--,-30.9282109911,-30.4455987882,2025-03-18,5.447936424500001,
境外-OF,2倍做多特斯拉 ETF-美元,9766.OF,09766.HK,另类投资基金,2026-03-24,-31.7010224002,-14.166909227,-41.6730243692,-36.5929007429,16.7949173914,--,16.7949173914,16.5985261933,2025-03-21,21.6800918856,
境外-OF,2倍做多三星电子 ETF-美元,9747.OF,09747.HK,另类投资基金,2026-03-24,114.3483254037,-17.5262194407,149.4776180474,291.0883044687,--,--,751.7042279754,--,2025-05-13,1488.655588598,
境外-OF,2倍做多Coinbase纳斯达克ETF-美元,9711.OF,09711.HK,另类投资基金,2026-03-23,-34.957383643,47.7350590027,-43.6187985763,-72.25223937,-52.2267064089,--,-52.2267064089,-51.7474222877,2025-03-19,7.3768879627,
境外-OF,2倍做空MicroStrategy ETF-美元,9399.OF,09399.HK,另类投资基金,2026-03-24,-39.6846147561,-27.3456979135,-34.6288570529,79.7710853154,-16.0012137457,--,-16.0012137457,-15.7251514024,2025-03-18,4.2367571077,
